slice_file_name,fsID,start,end,salience,fold,classID,class
zz_g6___50.wav,1363,34.3,35.0,1,6,1,Drone
1-24524-B-192___1.wav,1967,0.0,0.7,1,5,0,Not_a_drone
5-223317-A-311___1.wav,11202,0.0,0.7,1,7,0,Not_a_drone
157867-8-0-23___2.wav,3540,0.7,1.4,1,3,0,Not_a_drone
176787-5-0-29___3.wav,3677,1.4,2.1,1,1,0,Not_a_drone
2-152964-A-314___1.wav,4763,0.0,0.7,1,4,0,Not_a_drone
151977-0-0-7___2.wav,3512,0.7,1.4,1,8,0,Not_a_drone
1-18755-B-44___1.wav,1734,0.0,0.7,1,2,0,Not_a_drone
177621-0-0-109___1.wav,3691,0.0,0.7,1,2,0,Not_a_drone
4-99193-B-40___1.wav,9790,0.0,0.7,1,5,0,Not_a_drone
4-182613-A-114___1.wav,9033,0.0,0.7,1,1,0,Not_a_drone
3-104632-A-121___1.wav,6008,0.0,0.7,1,7,0,Not_a_drone
192124-2-0-12___5.wav,3818,2.8,3.5,1,7,0,Not_a_drone
3-203373-A-393___1.wav,7595,0.0,0.7,1,9,0,Not_a_drone
2-70280-A-184___1.wav,5343,0.0,0.7,1,1,0,Not_a_drone
5-205589-B-170___1.wav,10711,0.0,0.7,1,7,0,Not_a_drone
5-213802-A-122___1.wav,10893,0.0,0.7,1,3,0,Not_a_drone
5-192191-A-192___1.wav,10363,0.0,0.7,1,6,0,Not_a_drone
2-104952-A-160___1.wav,4014,0.0,0.7,1,3,0,Not_a_drone
5-236288-A-283___1.wav,11354,0.0,0.7,1,3,0,Not_a_drone
5-236299-A-344___1.wav,11360,0.0,0.7,1,4,0,Not_a_drone
u3___77.wav,12354,53.2,53.900000000000006,1,7,0,Not_a_drone
2-119161-A-80___1.wav,4394,0.0,0.7,1,1,0,Not_a_drone
5-238021-A-351___1.wav,11377,0.0,0.7,1,7,0,Not_a_drone
59277-0-0-6___5.wav,11893,2.8,3.5,1,6,0,Not_a_drone
44736-5-0-0___1.wav,9826,0.0,0.7,1,4,0,Not_a_drone
72261-3-0-23___3.wav,11909,1.4,2.1,1,4,0,Not_a_drone
zz_g4___162.wav,1361,112.7,113.4,1,1,1,Drone
zz_g6___133.wav,1363,92.4,93.1,1,4,1,Drone
15_m(9)___28.wav,29,18.9,19.6,1,6,1,Drone
1-115545-A-484___1.wav,1460,0.0,0.7,1,2,0,Not_a_drone
2-118625-A-300___1.wav,4369,0.0,0.7,1,9,0,Not_a_drone
4-170078-A-14___1.wav,8678,0.0,0.7,1,9,0,Not_a_drone
4-212728-A-341___1.wav,9581,0.0,0.7,1,6,0,Not_a_drone
180937-7-4-8___1.wav,3798,0.0,0.7,1,4,0,Not_a_drone
124489-9-0-16___3.wav,3393,1.4,2.1,1,8,0,Not_a_drone
147764-4-0-0___1.wav,3490,0.0,0.7,1,3,0,Not_a_drone
